L,It,Time,rPK
0.10,12.0,0.6211936473846436,0.00030004135608985294
0.15,14.0,0.6687670707702636,0.0004727751055313423
0.20,18.0,0.8254848003387452,0.0006634863690655468
0.25,20.0,0.8766025543212891,0.0008748655621528822
0.30,22.0,0.957515287399292,0.0011102216292553369
0.35,26.0,1.1225213050842284,0.0013736842917664305
0.40,30.0,1.2858896732330323,0.0016704929220889841
0.45,34.0,1.4390148639678955,0.0020074268801117956
0.50,38.0,1.5938231945037842,0.002393457035651636
0.55,44.0,1.8295342445373535,0.002840778056652171
0.60,52.0,2.147046995162964,0.003366513461107168
0.65,60.0,2.4785630226135256,0.0039957004371506954
0.70,70.0,2.9033401012420654,0.004766890061024709
0.75,84.0,3.4167552947998048,0.005743632977978752
0.80,106.0,4.305027294158935,0.007041083719244501
0.85,140.0,5.690018081665039,0.008899239119006808
0.90,210.0,8.468619585037231,0.01194796333916992
0.95,432.0,17.41739664077759,0.01883803752444324
