PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
0.005568820826423661   LAX   Los Angeles Intl, United States
0.005545657791688117   DEN   Denver Intl, United States
0.004352226146817855   LHR   Heathrow, United Kingdom
0.004275165048129095   ATL   Hartsfield Jackson Atlanta Intl, United States
0.004214440404371227   CDG   Charles De Gaulle, France
0.004202373679694667   PEK   Capital Intl, China
0.004201256377034621   SIN   Changi Intl, Singapore
0.004106177145498028   FRA   Frankfurt Main, Germany
0.0039461780337629055   SYD   Sydney Intl, Australia
0.0038530677008094824   DFW   Dallas Fort Worth Intl, United States
0.0038270991931397768   JFK   John F Kennedy Intl, United States
0.0037823951287578256   AMS   Schiphol, Netherlands
0.003686248182900768   DME   Domododevo, Russia
0.003510355179358496   YYZ   Lester B Pearson Intl, Canada
0.0034860604472616266   ICN   Incheon Intl, South Korea
0.003483529684732927   DXB   Dubai Intl, United Arab Emirates
0.003294637055490511   PVG   Pudong, China
0.003264669010131135   IST   Ataturk, Turkey
0.003255142131830614   BCN   Barcelona, Spain
0.0031288819151346304   HKG   Hong Kong Intl, Hong Kong
0.002992474810619812   BOG   Eldorado Intl, Colombia
0.0029662482131034788   BKK   Suvarnabhumi Intl, Thailand
0.0029283433650578753   MIA   Miami Intl, United States
0.0029124997083511   MEX   Licenciado Benito Juarez Intl, Mexico
0.002901458905275173   FCO   Fiumicino, Italy
0.002855404770165625   BNE   Brisbane Intl, Australia
0.0028338242242142565   LGW   Gatwick, United Kingdom
0.002822735004003522   SFO   San Francisco Intl, United States
0.0028038442128970253   MUC   Franz Josef Strauss, Germany
0.002792652572036292   IAH   George Bush Intercontinental, United States
0.0027736613486996882   KUL   Kuala Lumpur Intl, Malaysia
0.002761533353344538   MAD   Barajas, Spain
0.0027529072295112912   DEL   Indira Gandhi Intl, India
0.00273974568010549   CLT   Charlotte Douglas Intl, United States
0.002736864633067934   SEA   Seattle Tacoma Intl, United States
0.002729360188911389   MSP   Minneapolis St Paul Intl, United States
0.002691854868758784   NRT   Narita Intl, Japan
0.002690701633251493   MNL   Ninoy Aquino Intl, Philippines
0.002657015975679547   VIE   Schwechat, Austria
0.0026535568235115646   LED   Pulkovo, Russia
0.002533349802602939   CAN   Baiyun Intl, China
0.0025158018722667157   LAS   Mc Carran Intl, United States
0.0024711508219790344   AEP   Aeroparque Jorge Newbery, Argentina
0.002469883003969464   GRU   Guarulhos Gov Andre Franco Montouro, Brazil
0.0024078245597504203   JNB   Johannesburg Intl, South Africa
0.002393572045261098   MAN   Manchester, United Kingdom
0.0023682523495401455   PMI   Son Sant Joan, Spain
0.0023631273307047804   BOM   Chhatrapati Shivaji Intl, India
0.0023591615895931922   EWR   Newark Liberty Intl, United States
0.00235621975867913   BRU   Brussels Natl, Belgium
0.0023453643268298457   YVR   Vancouver Intl, Canada
0.002335939379203621   DUS   Dusseldorf, Germany
0.002292613883771208   CGK   Soekarno Hatta Intl, Indonesia
0.002273613991388655   CTU   Shuangliu, China
0.0022673103275211216   DTW   Detroit Metro Wayne Co, United States
0.002247586368120209   KMG   Wujiaba, China
0.002237364131983488   MEL   Melbourne Intl, Australia
0.0022145810892484703   IAD   Washington Dulles Intl, United States
0.002211470197831725   MCO   Orlando Intl, United States
0.0021893976120251563   ANC   Ted Stevens Anchorage Intl, United States
0.002187888873258248   AUH   Abu Dhabi Intl, United Arab Emirates
0.002179984724529336   TPE   Taoyuan Intl, Taiwan
0.0021766171767104796   PHL   Philadelphia Intl, United States
0.0021765876433605287   CPH   Kastrup, Denmark
0.0021710879984372035   AKL   Auckland Intl, New Zealand
0.002161418939070492   PHX   Phoenix Sky Harbor Intl, United States
0.0021333945178241124   ZRH   Zurich, Switzerland
0.00212237829272303   HND   Tokyo Intl, Japan
0.0021098976987478837   BOS   General Edward Lawrence Logan Intl, United States
0.0020871138352536634   YUL   Pierre Elliott Trudeau Intl, Canada
0.0020753093423217478   SVO   Sheremetyevo, Russia
0.0020349729968891866   LIM   Jorge Chavez Intl, Peru
0.002033989105715735   OSL   Gardermoen, Norway
0.002004910725666499   FLL   Fort Lauderdale Hollywood Intl, United States
0.0019837888155589296   ORY   Orly, France
0.0019679320280572444   ARN   Arlanda, Sweden
0.0019631909161464964   XIY   Xianyang, China
0.0019362238644428406   BET   Bethel, United States
0.0018339427347118242   HEL   Helsinki Vantaa, Finland
0.0018245081974619672   JED   King Abdulaziz Intl, Saudi Arabia
0.0018045175717867105   MXP   Malpensa, Italy
0.0017727874779949946   BSB   Presidente Juscelino Kubitschek, Brazil
0.0017698275051435885   LIS   Lisboa, Portugal
0.0017661175604880034   CKG   Jiangbei, China
0.001730944250895866   NBO   Jomo Kenyatta International, Kenya
0.001687794692109917   ATH   Eleftherios Venizelos Intl, Greece
0.001664600786074859   HGH   Xiaoshan, China
0.0016525799458376859   THR   Mehrabad Intl, Iran
0.0016468875730974938   HNL   Honolulu Intl, United States
0.0016251506751606924   CAI   Cairo Intl, Egypt
0.001624590865725542   DUB   Dublin, Ireland
0.0016172676636766162   SZX   Baoan Intl, China
0.00160312728432585   RUH   King Khaled Intl, Saudi Arabia
0.0015972175001967859   ADD   Bole Intl, Ethiopia
0.0015962765335369425   TXL   Tegel, Germany
0.0015747000070279187   SLC   Salt Lake City Intl, United States
0.0015635976427123377   PER   Perth Intl, Australia
0.0015510956586865282   PPT   Faa\\'a International, French Polynesia
0.001545280487712   POM   Port Moresby Jacksons Intl, Papua New Guinea
0.001518163787231952   DOH   Doha Intl, Qatar
0.001493549831220058   SHA   Hongqiao Intl, China
0.0014931547015570896   URC   Diwopu, China
0.0014772473642778049   CUN   Cancun Intl, Mexico
0.001469328324624495   AGP   Malaga, Spain
0.001464642125002035   XMN   Gaoqi, China
0.001451473192002275   PDX   Portland Intl, United States
0.0014361331722035121   YYC   Calgary Intl, Canada
0.0014324935349641773   HIR   Honiara International, Solomon Islands
0.0014195618044950966   SCL   Arturo Merino Benitez Intl, Chile
0.0013974455238998462   MDW   Chicago Midway Intl, United States
0.0013964116569805765   BWI   Baltimore Washington Intl, United States
0.001393842590254262   LGA   La Guardia, United States
0.0013936541549267275   GIG   Galeao Antonio Carlos Jobim, Brazil
0.0013893560844856758   FAI   Fairbanks Intl, United States
0.0013729508380716977   KIX   Kansai, Japan
0.0013632047537559975   STN   Stansted, United Kingdom
0.0013584238638151434   STL   Lambert St Louis Intl, United States
0.001345464183077276   SAW   Sabiha Gokcen, Turkey
0.00134092656182984   TAO   Liuting, China
0.0013311345546717708   CCS   Simon Bolivar Intl, Venezuela
0.0013299475283762609   CSX   Huanghua, China
0.0013186643511977096   WUH   Tianhe, China
0.0013151874728351924   DCA   Ronald Reagan Washington Natl, United States
0.0013068795605231172   GVA   Geneve Cointrin, Switzerland
0.0012960919894563488   VCP   Viracopos, Brazil
0.0012908124437912664   TPA   Tampa Intl, United States
0.0012869635742875918   PRG   Ruzyne, Czech Republic
0.0012756574766335342   NKG   Lukou, China
0.0012755402766397269   ALC   Alicante, Spain
0.0012633584661516928   IBZ   Ibiza, Spain
0.0012556730812616017   BHX   Birmingham, United Kingdom
0.0012551049810377501   PTY   Tocumen Intl, Panama
0.0012546686157476113   DMK   Don Muang Intl, Thailand
0.0012328873831440486   CCU   Netaji Subhash Chandra Bose Intl, India
0.00122747654826073   NCE   Cote D\\'Azur, France
0.0012212545777746078   JNU   Juneau Intl, United States
0.0012187428478605494   VCE   Venezia Tessera, Italy
0.0011957428021425367   SGN   Tansonnhat Intl, Vietnam
0.0011870271028653302   STR   Stuttgart, Germany
0.0011755157609935236   DPS   Bali Ngurah Rai, Indonesia
0.0011700103148018061   LYS   Saint Exupery, France
0.0011681965421814044   CNS   Cairns Intl, Australia
0.0011674079321973316   LPA   Gran Canaria, Spain
0.0011617350538384657   HAM   Hamburg, Germany
0.0011563035981169577   SAN   San Diego Intl, United States
0.0011349562773417604   VLI   Port Vila Bauerfield, Vanuatu
0.0011323967987027185   ALG   Houari Boumediene, Algeria
0.0011286441739703297   EDI   Edinburgh, United Kingdom
0.0011269689129675662   SJO   Juan Santamaria Intl, Costa Rica
0.0011218751185073427   MRS   Provence, France
0.0011199806044617222   WAW   Okecie, Poland
0.0011062379799005914   CMN   Mohammed V Intl, Morocco
0.0011048038627412345   YXL   Sioux Lookout, Canada
0.0011034976287943254   GLA   Glasgow, United Kingdom
0.0011001680002689928   SSA   Deputado Luis Eduardo Magalhaes, Brazil
0.0010909077492277292   MHD   Mashhad, Iran
0.0010909029149062457   TLV   Ben Gurion, Israel
0.0010901542493326488   YEG   Edmonton Intl, Canada
0.00108586627531709   HER   Nikos Kazantzakis, Greece
0.0010804497306857405   NAN   Nadi Intl, Fiji
0.001072735697869765   MAO   Eduardo Gomes Intl, Brazil
0.0010726790806955826   CGO   Xinzheng, China
0.0010637477889147442   VKO   Vnukovo, Russia
0.0010615785764240793   UPG   Hasanuddin, Indonesia
0.0010477633129769442   AYT   Antalya, Turkey
0.0010463207404167868   BLR   Bangalore, India
0.0010412125999389094   MAA   Chennai Intl, India
0.0010411638324498151   DLC   Zhoushuizi, China
0.001038520438221496   AMM   Queen Alia Intl, Jordan
0.0010205710401594945   CGN   Koln Bonn, Germany
0.0010174748080786693   EZE   Ministro Pistarini, Argentina
0.0010152663173763315   KWI   Kuwait Intl, Kuwait
0.0010143176883886237   CNF   Tancredo Neves Intl, Brazil
0.0010099784827988204   OME   Nome, United States
0.0010069840892926992   SJU   Luis Munoz Marin Intl, Puerto Rico
0.0010023232939682547   OTP   Henri Coanda, Romania
0.0009948847905017863   ADL   Adelaide Intl, Australia
0.0009939797326652222   SHE   Shenyang Taoxian International Airport, China
0.0009851056360600575   HAN   Noibai Intl, Vietnam
0.0009846804855648727   RHO   Rhodes Diagoras, Greece
0.0009836708905281218   GEA   Magenta, New Caledonia
0.0009829807609315275   CEB   Mactan Cebu Intl, Philippines
0.0009793941863895858   KBP   Boryspil Intl, Ukraine
0.0009791945397194099   CLE   Cleveland Hopkins Intl, United States
0.0009748666797562302   TFS   Tenerife Sur, Spain
0.0009708366294877965   MCT   Seeb Intl, Oman
0.0009636026847422045   YZF   Yellowknife, Canada
0.0009603549592474917   HRB   Taiping, China
0.0009479961473327686   SVX   Koltsovo, Russia
0.0009477411082096289   OTZ   Ralph Wien Mem, United States
0.0009328034098689679   BGY   Bergamo Orio Al Serio, Italy
0.0009322056785201096   CTS   New Chitose, Japan
0.0009315658677898407   KTM   Tribhuvan Intl, Nepal
0.0009301238962312038   PAC   Marcos A Gelabert Intl, Panama
0.0009284657937142179   LAD   Luanda 4 De Fevereiro, Angola
0.0009241233363828532   DRW   Darwin Intl, Australia
0.0009238904829967248   NAS   Lynden Pindling Intl, Bahamas
0.0009215091730597232   RIX   Riga Intl, Latvia
0.0009207453142710632   HAV   Jose Marti Intl, Cuba
0.0009132715009144285   TNA   Jinan, China
0.0009100175507941929   SUB   Juanda, Indonesia
0.000906910576889683   OVB   Tolmachevo, Russia
0.0009043545339440745   TSN   Binhai, China
0.0009017105546975996   KWE   Longdongbao, China
0.000882453795430702   BRS   Bristol, United Kingdom
0.000879173997884298   POA   Salgado Filho, Brazil
0.0008756966170677663   LTN   Luton, United Kingdom
0.0008723898643972366   CWB   Afonso Pena, Brazil
0.0008701454635624173   WLG   Wellington Intl, New Zealand
0.0008688834685538761   GDL   Don Miguel Hidalgo Y Costilla Intl, Mexico
0.0008649451473241982   FUK   Fukuoka, Japan
0.0008610991183362765   KHI   Jinnah Intl, Pakistan
0.0008537277767907692   HYD   Hyderabad, India
0.0008534168381191605   CMB   Bandaranaike Intl Colombo, Sri Lanka
0.0008491072083788191   TAS   Yuzhny, Uzbekistan
0.0008482939201973562   MCI   Kansas City Intl, United States
0.0008394832737998668   OPO   Porto, Portugal
0.0008393069231118733   MLA   Luqa, Malta
0.0008390393627928725   CGH   Congonhas, Brazil
0.0008244678168140306   BNA   Nashville Intl, United States
0.0008203243492203842   UIO   Mariscal Sucre Intl, Ecuador
0.0008142565102306048   NNG   Wuxu, China
0.0008142421653764613   ALA   Almaty, Kazakhstan
